PlanName,DistrictNum,VoteDem,VoteRep
MississippiRepublicanPlan,1,123262,228747
MississippiRepublicanPlan,2,235688,173229
MississippiRepublicanPlan,3,164536,251357
MississippiRepublicanPlan,4,95690,214723
GeorgiaDemocraticPlan,1,153403,218164
GeorgiaDemocraticPlan,2,228913,226335
GeorgiaDemocraticPlan,3,178721,338636
GeorgiaDemocraticPlan,4,359762,163519
GeorgiaDemocraticPlan,5,420423,84220
GeorgiaDemocraticPlan,6,327290,265841
GeorgiaDemocraticPlan,7,250757,227842
GeorgiaDemocraticPlan,8,170072,295236
GeorgiaDemocraticPlan,9,183479,372849
GeorgiaDemocraticPlan,10,338872,189141
GeorgiaDemocraticPlan,11,181033,391278
GeorgiaDemocraticPlan,12,181535,232318
GeorgiaDemocraticPlan,13,322248,188101
GeorgiaDemocraticPlan,14,87530,341778
GeorgiaRepublicanPlan,1,149737,210183
GeorgiaRepublicanPlan,2,224885,226541
GeorgiaRepublicanPlan,3,229681,316683
GeorgiaRepublicanPlan,4,385798,122585
GeorgiaRepublicanPlan,5,423926,92388
GeorgiaRepublicanPlan,6,261081,354666
GeorgiaRepublicanPlan,7,277963,186487
GeorgiaRepublicanPlan,8,168942,271816
GeorgiaRepublicanPlan,9,166790,362508
GeorgiaRepublicanPlan,10,225990,315498
GeorgiaRepublicanPlan,11,237664,324001
GeorgiaRepublicanPlan,12,162845,213169
GeorgiaRepublicanPlan,13,387443,127142
GeorgiaRepublicanPlan,14,146204,284704
H000C8019,1,141867,283169
H000C8019,2,185720,242113
H000C8019,3,178196,261183
H000C8019,4,221248,378655
H000C8019,5,239425,225606
H000C8019,6,220611,359318
H000C8019,7,260343,268042
H000C8019,8,195625,285768
H000C8019,9,276877,203034
H000C8019,10,305784,204884
H000C8019,11,260829,351809
H000C8019,12,208246,334146
H000C8019,13,240049,226775
H000C8019,14,246297,207683
H000C8019,15,241510,250014
H000C8019,16,193978,256928
H000C8019,17,221005,269587
H000C8019,18,181204,305335
H000C8019,19,215094,328315
H000C8019,20,406515,199377
H000C8019,21,241986,275424
H000C8019,22,259935,181480
H000C8019,23,305659,208333
H000C8019,24,303861,123244
H000C8019,25,311689,198787
H000C8019,26,244302,296619
H000C8019,27,219970,216017
H000C8019,28,198698,222536
P000C0109,1,141867,283169
P000C0109,2,185720,242113
P000C0109,3,184686,272919
P000C0109,4,214472,262737
P000C0109,5,205677,280641
P000C0109,6,231589,379295
P000C0109,7,246791,275980
P000C0109,8,198720,289979
P000C0109,9,262265,188734
P000C0109,10,305433,178836
P000C0109,11,287055,352016
P000C0109,12,179071,318317
P000C0109,13,243054,268434
P000C0109,14,305922,225108
P000C0109,15,247334,261113
P000C0109,16,216976,258889
P000C0109,17,223699,308003
P000C0109,18,196979,289236
P000C0109,19,214056,324527
P000C0109,20,406515,199377
P000C0109,21,241986,275424
P000C0109,22,259935,181480
P000C0109,23,305659,208333
P000C0109,24,303861,123244
P000C0109,25,311689,198787
P000C0109,26,243725,292159
P000C0109,27,219970,216017
P000C0109,28,198698,222536
S019C8052,1,141867,283169
S019C8052,2,202087,347904
S019C8052,3,211709,301061
S019C8052,4,231203,330258
S019C8052,5,291418,245252
S019C8052,6,221200,334636
S019C8052,7,273877,233710
S019C8052,8,207493,296134
S019C8052,9,280887,203732
S019C8052,10,286371,195153
S019C8052,11,200624,363702
S019C8052,12,222351,334729
S019C8052,13,241088,228219
S019C8052,14,242892,188860
S019C8052,15,231433,253208
S019C8052,16,224481,273391
S019C8052,17,185282,303549
S019C8052,18,237804,273278
S019C8052,19,220012,337052
S019C8052,20,408406,201249
S019C8052,21,315047,209965
S019C8052,22,305786,212997
S019C8052,23,304718,195871
S019C8052,24,296342,110646
S019C8052,25,254890,293195
S019C8052,26,199648,223606
S019C8052,27,219457,215516
S019C8052,28,201366,260218
