votes,seatsR,seatsD
0,0,0
0.3672217918925358,0.0,0.0
1.3672217918925367,0.0,0.0
2.3672217918925376,0.0,0.0
3.3672217918925385,0.0,0.0
4.36722179189254,0.0,0.0
5.36722179189254,0.0,0.0
6.367221791892542,0.0,0.0
7.367221791892542,0.0,0.0
8.367221791892543,0.0,0.0
9.367221791892543,0.0,0.0
10.367221791892545,0.0,0.0
11.367221791892545,0.0,0.0
12.367221791892547,0.0,0.0
13.367221791892547,0.0,0.0
14.367221791892549,0.0,0.0
15.367221791892549,0.0,0.0
16.36722179189255,0.0,0.0
17.36722179189255,0.0,0.0
18.36722179189255,0.0,0.0
19.367221791892554,0.0,0.0
20.367221791892554,0.0,0.0
21.367221791892554,0.0,0.0
22.367221791892554,0.0,0.0
23.367221791892558,0.0,0.0
24.367221791892558,0.0,0.0
25.367221791892558,0.0,0.0
26.367221791892558,0.0,0.0
27.36722179189256,0.0,0.0
28.36722179189256,0.0,2.5
29.36722179189256,0.0,4.45
30.36722179189256,0.0,6.950000000000001
31.367221791892565,0.0,9.049999999999999
32.36722179189256,0.0,9.950000000000001
33.36722179189257,2.65,12.9
34.36722179189257,5.050000000000001,15.65
35.36722179189257,6.275,18.0
36.36722179189257,9.375,20.875
37.36722179189257,12.3,22.775000000000002
38.36722179189257,15.7,25.0
39.36722179189257,20.175,25.0
40.36722179189257,25.0,25.0
41.367221791892575,29.799999999999997,25.0
42.367221791892575,36.175000000000004,25.0
43.367221791892575,43.425000000000004,25.0
44.367221791892575,48.3,25.0
45.367221791892575,52.525,25.0
46.367221791892575,56.85,25.0
47.367221791892575,60.875,27.375
48.367221791892575,65.125,29.7
49.36722179189258,68.0,32.0
50.36722179189258,70.3,34.875
51.36722179189258,72.625,36.725
52.36722179189258,75.0,40.775
53.36722179189258,75.0,45.225
54.36722179189258,75.0,49.35
55.36722179189258,75.0,54.15
56.36722179189258,75.0,61.5
57.36722179189259,75.0,67.85
59.36722179189259,75.0,72.875
60.36722179189259,75.0,77.35
61.36722179189259,75.0,81.69999999999999
62.36722179189259,77.225,85.8
63.36722179189259,79.125,90.625
64.36722179189259,82.0,93.72500000000001
65.36722179189259,84.35000000000001,94.95
66.36722179189259,87.1,97.35000000000001
67.36722179189259,90.05,100.0
68.36722179189259,90.95,100.0
69.3672217918926,93.05,100.0
70.3672217918926,95.55,100.0
71.3672217918926,97.5,100.0
72.3672217918926,100.0,100.0
73.3672217918926,100.0,100.0
74.3672217918926,100.0,100.0
75.3672217918926,100.0,100.0
76.3672217918926,100.0,100.0
77.3672217918926,100.0,100.0
78.3672217918926,100.0,100.0
79.3672217918926,100.0,100.0
80.3672217918926,100.0,100.0
81.3672217918926,100.0,100.0
82.3672217918926,100.0,100.0
83.3672217918926,100.0,100.0
84.3672217918926,100.0,100.0
85.36722179189262,100.0,100.0
86.36722179189262,100.0,100.0
87.36722179189262,100.0,100.0
88.36722179189262,100.0,100.0
89.36722179189262,100.0,100.0
90.36722179189262,100.0,100.0
91.36722179189262,100.0,100.0
92.36722179189262,100.0,100.0
93.36722179189262,100.0,100.0
94.36722179189262,100.0,100.0
95.36722179189262,100.0,100.0
96.36722179189262,100.0,100.0
97.36722179189262,100.0,100.0
98.36722179189262,100.0,100.0
99.36722179189262,100.0,100.0
100,100,100
